AMIE,NOMBRE,PROVINCIA,CANTON,LAT,LON,MD,M,JE
11H00235,ESCUELA DE EDUCACION BASICA ROSA JOSEFINA BURNEO DE BURNEO,LOJA,LOJA,-3.97246266974,-79.2076304553,8754.780000000002,4584,0.0
11H00275,ESCUELA DE EDUCACION BASICA POMPILIO REINOSO JARAMILLO,LOJA,LOJA,-3.93809511711,-79.2236933084,5836.520000000001,3056,0.0
11H00282,UNIDAD EDUCATIVA JULIO MARIA MATOVELLE,LOJA,LOJA,-3.95832752933,-79.2192747302,8754.780000000002,4584,0.0
11H00283,UNIDAD EDUCATIVA  MARIETA DE VEINTIMILLA,LOJA,LOJA,-3.94444479981,-79.225426716,8754.780000000002,4584,0.0
11H00441,UNIDAD EDUCATIVA JUAN MONTALVO,LOJA,LOJA,-4.26233901217,-79.2237445413,5836.520000000001,3056,0.0
11H00446,ESCUELA DE EDUCACION BASICA TRECE DE ABRIL,LOJA,LOJA,-4.261403186,-79.2221733155,2918.2600000000007,1528,0.0
11H00585,ESCUELA DE EDUCACION BASICA CARLOS MONTUFAR,LOJA,CALVAS,-4.40055296826,-79.468953552,5836.520000000001,3056,5748.0
11H00797,UNIDAD EDUCATIVA MANUEL MARIA SANCHEZ,LOJA,CELICA,-4.20166671083,-80.1286111291,5836.520000000001,3056,0.0
11H00914,ESCUELA DE EDUCACION BASICA NICOLAS MAQUIAVELO,LOJA,ESPINDOLA,-4.41729904293,-79.4110164734,5836.520000000001,3056,0.0
11H01052,UNIDAD EDUCATIVA DEL MILENIO  5 DE JUNIO,LOJA,MACARA,-4.38577721119,-79.9523611737,5836.520000000001,3056,0.0
11H01459,ESCUELA DE EDUCACION BASICA FRANCISCO ARIAS,LOJA,SARAGURO,-3.55177439617,-79.3459029459,5836.520000000001,3056,0.0
15H00032,CEI EL BUEN PASTOR,NAPO,TENA,-0.988271858934,-77.817098914,5836.520000000001,3056,5748.0
15H00047,UNIDAD EDUCATIVA JOSE PELAEZ,NAPO,TENA,-0.990531773387,-77.8154050461,20427.820000000003,10696,5748.0
15H00056,UNIDAD EDUCATIVA DR JAIME HURTADO GONZALEZ,NAPO,TENA,-0.992211006695,-77.4384545696,5836.520000000001,3056,0.0
15H00073,UNIDAD EDUCATIVA AHUANO,NAPO,TENA,-1.05024999717,-77.5829444446,5836.520000000001,3056,0.0
15H00125,UNIDAD EDUCATIVA MISAHUALLI,NAPO,TENA,-1.03439026463,-77.6667808789,8754.780000000002,4584,0.0
15H00157,UNIDAD EDUCATIVA ARCHIDONA,NAPO,ARCHIDONA,-0.90943845116,-77.8079205794,23346.080000000005,12224,5748.0
15H00213,PADRE RAFAEL FERRER,NAPO,EL CHACO,-0.213175742721,-78.0877934995,5836.520000000001,3056,5748.0
15H00228,MANUEL VILLAVICENCIO,NAPO,QUIJOS,-0.41371513954,-78.0271026117,5836.520000000001,3056,5748.0
15H00235,GUILLERMO VINUEZA,NAPO,QUIJOS,-0.424218321966,-77.8417894988,5836.520000000001,3056,5748.0
16H00137,UNIDAD EDUCATIVA VERACRUZ,PASTAZA,PASTAZA,-1.50845439825,-77.9419399029,5836.520000000001,3056,5748.0
17H00605,ESCUELA DE EDUCACION BASICA REPUBLICA DE IRAK,PICHINCHA,QUITO,-0.241177386711,-78.5451779467,5836.520000000001,3056,0.0
17H00671,ESCUELA DE EDUCACIÓN BÁSICA ELOY ALFARO,PICHINCHA,QUITO,-0.218707820432,-78.5027959987,5836.520000000001,3056,0.0
17H01058,ESCUELA DE EDUCACIÓN BÁSICA FISCAL VALENCIA HERRERA,PICHINCHA,QUITO,-0.334966279562,-78.5480130627,14591.300000000003,7640,5748.0
17H01234,UNIDAD EDUCATIVA LUIS ENRIQUE RAZA BOLAÑOS,PICHINCHA,QUITO,-0.299356509891,-78.5247760914,14591.300000000003,7640,5748.0
17H01289,ESCUELA DE EDUCACIÓN BÁSICA FISCAL CARLOS GUERRA BOADA,PICHINCHA,QUITO,-0.343566431312,-78.5638852001,8754.780000000002,4584,5748.0
17H01294,ESCUELA DE EDUCACIÓN BÁSICA CENEPA,PICHINCHA,QUITO,-0.341127498976,-78.5702427715,5836.520000000001,3056,0.0
17H01447,ESCUELA DE EDUCACION BASICA FISCAL RAFAEL ARMIJOS VALDIVIESO,PICHINCHA,QUITO,-0.30700084,-78.4380276089,5836.520000000001,3056,5748.0
17H01457,UNIDAD EDUCATIVA ALEJANDRO ANDRADE COELLO,PICHINCHA,QUITO,-0.283692280087,-78.4424141299,5836.520000000001,3056,0.0
17H01495,ESCUELA DE EDUCACIÓN BÁSICA BARTOLOMÉ DE LAS CASAS,PICHINCHA,QUITO,-0.372767466665,-78.4851091659,5836.520000000001,3056,5748.0
17H01726,ESCUELA DE EDUCACIÓN BÁSICA DRA  MATILDE HIDALGO DE PRÓCEL,PICHINCHA,QUITO,-0.271818222679,-78.4955935088,8754.780000000002,4584,5748.0
17H01775,ESCUELA DE EDUCACIÓN BÁSICA RICARDO ORTIZ TERAN,PICHINCHA,QUITO,-0.0968355010087,-78.2896476658,5836.520000000001,3056,5748.0
17H01863,ESCUELA DE EDUCACIÓN BÁSICA FISCAL DR ALFONSO MORA BOWEN,PICHINCHA,QUITO,-0.171184183101,-78.4417336794,5836.520000000001,3056,5748.0
17H01992,ESCUELA DE EDUCACIÓN BÁSICA FISCAL MARIA HELENA SALAZAR DE PEREZ,PICHINCHA,QUITO,-0.0646424037356,-78.4603454154,5836.520000000001,3056,5748.0
17H01994,SIMON RODRIGUEZ,PICHINCHA,QUITO,-0.0670111541544,-78.4737493213,5836.520000000001,3056,5748.0
17H02004,LUIS NAPOLEON DILLON,PICHINCHA,QUITO,0.0675423773553,-78.401196232,5836.520000000001,3056,5748.0
17H02058,ESCUELA DE EDUCACION BASICA FISCAL ALEJANDRO LARREA,PICHINCHA,QUITO,0.174379172346,-78.408740369,5836.520000000001,3056,0.0
17H02132,ESCUELA DE EDUCACIÓN BÁSICA LUIS PALLARES ZALDUMBIDE,PICHINCHA,QUITO,-0.149474621301,-78.3376406756,2918.2600000000007,1528,0.0
17H02700,CENTRO DE EDUCACIÓN INICIAL BUEN PASTOR,PICHINCHA,QUITO,-0.199646145726,-78.388205171,5836.520000000001,3056,5748.0
17H02831,CENTRO DE EDUCACIÓN INICIAL FISCAL MIS PRIMERAS LETRAS,PICHINCHA,QUITO,-0.197748494874,-78.3470734876,5836.520000000001,3056,0.0
19H00010,ESCUELA DE EDUCACION BASICA AMAZONAS,ZAMORA CHINCHIPE,ZAMORA,-4.06633797026,-78.9537098534,14591.300000000003,7640,0.0
19H00040,ESCUELA DE EDUCACION BASICA  PRINCESA PACCHA,ZAMORA CHINCHIPE,ZAMORA,-3.95867583779,-78.849802368,5836.520000000001,3056,5748.0
19H00060,ESCUELA DE EDUCACION BASICA MEDARDO ANGEL SILVA,ZAMORA CHINCHIPE,ZAMORA,-3.87589040833,-78.875001165,5836.520000000001,3056,5748.0
19H00118,ESCUELA DE EDUCACIÓN BÁSICA CIUDAD DE ZUMBA,ZAMORA CHINCHIPE,CHINCHIPE,-4.8735155443,-79.135050309,5836.520000000001,3056,5748.0
19H00273,ESCUELA DE EDUCACION BASICA MARIA PAULINA SOLIS,ZAMORA CHINCHIPE,YANTZAZA (YANZATZA),-3.82771691827,-78.7627345791,14591.300000000003,7640,0.0
19H00423,UNIDAD EDUCATIVA EL PORVENIR,ZAMORA CHINCHIPE,PALANDA,-4.5463780336,-79.035873816,5836.520000000001,3056,5748.0
19H00586,UNIDAD EDUCATIVA DEL MILENIO 10 DE NOVIEMBRE,ZAMORA CHINCHIPE,YANTZAZA (YANZATZA),-3.76262184512,-78.6439018962,14591.300000000003,7640,5748.0
