ZONA;DISTRITO;PROVINCIA;CANTON;PARROQUIA;TIPO_EDUCACION;AMIE;LONGITUD;LATITUD;INSTITUCION;SOSTENIMIENTO;JURISDICCIÓN;RÉGIMEN;ZONA INEC;NIVEL DE EDUCACIÓN;Nro, de niños y niños de 3 y 4 años (AMIE 23-24);AUX_AÑO DE DOTACIÓN;AUX_T. IE;MD_AÑO DE DOTACIÓN;MD_PARALELOS;MD_MONTO USD$;M_AÑO DE DOTACIÓN;M_TIPO DE AMBIENTE;M_MONTO USD$;JE_AÑO DE DOTACIÓN;JE_CANTIDAD;JE_MONTO USD$;Aux_IE_Material
3;604;CHIMBORAZO;GUAMOTE;PALMIRA;Ordinario;601004;-7873412702;-207930878;UNIDAD EDUCATIVA DEL MILENIO GUARDIANA DE LA LENGUA 27 DE FEBRERO;FISCAL;Intercultural;SIERRA;Rural;Inicial/EGB/Bachillerato;34;2027;1;2027;2;5836.52;2027;2;3056.00;;;-;ML_Mo
3;605;CHIMBORAZO;GUANO;ILAPO;Ordinario;601064;-7858497828;-1540307799;UNIDAD EDUCATIVA DR MANUEL RODRIGUEZ OROZCO;FISCAL;Intercultural;SIERRA;Rural;Inicial/EGB/Bachillerato;10;2027;1;2027;2;5836.52;2027;2;3056.00;2027;1;5748.00;ML_Mo_JE
3;605;CHIMBORAZO;GUANO;SAN ANDRES;Ordinario;601076;-7875172099;-1565071903;UNIDAD EDUCATIVA ONCE DE NOVIEMBRE;FISCAL;Intercultural;SIERRA;Rural;Inicial/EGB/Bachillerato;18;2027;1;2027;2;5836.52;2027;2;3056.00;;;-;ML_Mo
3;605;CHIMBORAZO;GUANO;SAN ANDRES;Ordinario;601081;-787439637;-1552777889;ESCUELA DE EDUCACIÃ“N BÃSICA REPUBLICA FEDERAL DE ALEMANIA;FISCAL;Intercultural;SIERRA;Rural;Inicial/EGB;11;2027;1;2027;2;5836.52;2027;2;3056.00;;;-;ML_Mo
3;605;CHIMBORAZO;GUANO;SAN ANDRES;Ordinario;601082;-7872332206;-1560032866;UNIDAD EDUCATIVA SAN PABLO;FISCAL;Intercultural;SIERRA;Rural;Inicial/EGB/Bachillerato;20;2027;1;2027;2;5836.52;2027;2;3056.00;;;-;ML_Mo
3;605;CHIMBORAZO;GUANO;SAN ANDRES;Ordinario;601085;-787346891;-1556673245;ESCUELA DE EDUCACIÃ“N BÃSICA BOLIVAR CHIRIBOGA BAQUERO;FISCAL;Intercultural;SIERRA;Rural;Inicial/EGB;17;2027;1;2027;2;5836.52;2027;2;3056.00;2027;1;5748.00;ML_Mo_JE
3;605;CHIMBORAZO;GUANO;SAN ANDRES;Ordinario;601090;-7872320092;-1530399392;UNIDAD EDUCATIVA TUNTATACTO;FISCAL;Intercultural;SIERRA;Rural;Inicial/EGB/Bachillerato;20;2027;1;2027;2;5836.52;2027;2;3056.00;;;-;ML_Mo
3;605;CHIMBORAZO;GUANO;SAN ANDRES;Ordinario;601095;-7876016096;-1552035843;ESCUELA DE EDUCACIÃ“N BÃSICA NUEVE DE OCTUBRE;FISCAL;Intercultural;SIERRA;Rural;Inicial/EGB;20;2027;1;2027;2;5836.52;2027;2;3056.00;2027;1;5748.00;ML_Mo_JE
3;605;CHIMBORAZO;GUANO;SAN ISIDRO DE PATULU;Ordinario;601172;-7869325508;-1585881064;UNIDAD EDUCATIVA SAN ISIDRO;FISCAL;Intercultural;SIERRA;Rural;Inicial/EGB/Bachillerato;25;2027;1;2027;2;5836.52;2027;2;3056.00;;;-;ML_Mo
3;605;CHIMBORAZO;GUANO;SAN JOSE DEL CHAZO;Ordinario;601196;-7854922643;-1528199737;UNIDAD EDUCATIVA JOSÃ‰ ENRIQUE RODÃ“;FISCAL;Intercultural;SIERRA;Rural;Inicial/EGB/Bachillerato;15;2027;1;2027;2;5836.52;2027;2;3056.00;;;-;ML_Mo
